PO_ID,Supplier_ID,Raw_Material_ID,Order_Date,Order_Quantity,Unit_Cost,Delivery_Date_Planned,Delivery_Date_Actual,Total_Cost
PO001301,SUP00093,PROD00122,2022-06-22,8,45.51182284274408,2024-01-05,2021-12-12,350.4560048527608
PO001547,SUP00082,PROD00016,2024-01-27,5,47.46063072507873,2023-04-25,2024-04-24,135.76755354565705
PO000653,SUP00090,PROD00137,2022-12-21,10,43.0415666465029,2023-09-12,2024-03-24,378.0504887061767
PO001837,SUP00012,PROD00060,2023-09-18,15,50.151331923513546,2022-06-06,2023-09-07,742.5327329788598
PO001467,SUP00070,PROD00181,2021-01-28,14,24.5314192675955,2023-06-21,2024-04-01,413.06341002440416
PO001610,SUP00040,PROD00180,2024-02-06,13,60.6407082542093,2021-06-15,2023-05-24,687.6061882324396
PO001442,SUP00066,PROD00035,2021-08-27,10,21.24422780386938,2022-01-20,2021-07-16,176.94967773937168
PO000717,SUP00065,PROD00098,2023-01-17,16,44.1779153043547,2023-12-03,2023-01-05,657.9381811060497
PO000567,SUP00089,PROD00129,2021-12-02,10,55.370769953250885,2021-03-02,2023-06-10,585.5710108644467
PO000846,SUP00026,PROD00036,2021-07-17,11,25.970261021825152,2022-11-12,2023-08-23,323.4433867284841
PO000195,SUP00047,PROD00129,2024-04-03,7,6.746781425454088,2023-04-01,2021-04-06,40.20821919871697
PO000903,SUP00006,PROD00136,2023-10-07,14,51.53998131092437,2023-06-15,2022-01-01,742.9759034470615
PO000087,SUP00031,PROD00059,2024-01-15,9,57.39199637764379,2023-06-09,2024-03-05,416.7478910479288
PO000008,SUP00061,PROD00041,2022-03-19,12,15.782297567155386,2023-04-11,2023-12-28,251.89219179976809
PO001863,SUP00087,PROD00101,2021-11-25,12,55.17470743158025,2021-11-06,2023-01-18,662.5901786711972
PO001379,SUP00099,PROD00054,2024-04-09,13,24.698008391170816,2021-02-04,2021-03-08,363.8389878744833
PO001124,SUP00018,PROD00103,2022-10-23,10,22.905863805008654,2022-10-09,2022-06-18,235.69123683487106
PO000683,SUP00038,PROD00057,2023-12-31,6,45.85680179079012,2023-07-15,2021-02-23,226.71684826377762
PO001142,SUP00031,PROD00118,2023-05-15,10,61.41891259409793,2022-08-13,2023-11-03,567.0860776701553
PO001784,SUP00055,PROD00117,2023-08-16,6,14.785205571151236,2022-01-29,2021-06-28,94.41712035867334
PO001305,SUP00030,PROD00082,2022-05-31,12,75.82377210048688,2021-06-22,2023-07-27,980.4866181001023
PO001205,SUP00019,PROD00135,2023-11-14,12,16.75078141491211,2021-09-08,2023-01-17,275.03016474984605
PO000921,SUP00047,PROD00090,2023-11-26,10,53.889494580290716,2024-01-29,2024-05-02,572.3166687308744
PO000692,SUP00090,PROD00017,2023-02-22,8,64.18315228031497,2024-01-08,2024-03-23,429.03703127982186
PO001398,SUP00099,PROD00054,2022-04-30,14,57.588684189174245,2022-09-20,2024-03-12,739.363777487155
PO001962,SUP00022,PROD00175,2022-03-07,9,29.118743268013297,2023-08-24,2021-12-13,228.74749518110855
PO000850,SUP00019,PROD00041,2022-12-26,9,28.237908920172835,2022-06-15,2023-04-24,252.22728156682447
PO000785,SUP00013,PROD00141,2023-03-30,11,62.676069064245176,2021-05-01,2024-01-17,635.174052785009
PO000857,SUP00060,PROD00151,2023-04-05,14,64.69155011579527,2022-11-08,2022-05-26,798.9499348559092
PO000852,SUP00005,PROD00044,2022-01-19,12,33.224364083794505,2022-02-23,2023-07-15,429.068084155393
PO001982,SUP00076,PROD00092,2023-07-26,10,27.176893976739084,2021-12-20,2022-04-08,220.1522048055135
PO001414,SUP00074,PROD00058,2021-03-06,7,66.84901408522441,2023-02-28,2024-03-06,382.7871623126118
PO000719,SUP00065,PROD00131,2021-12-05,10,75.39915962709912,2023-11-01,2024-02-16,872.6875923349711
PO000744,SUP00060,PROD00070,2023-07-26,11,63.62640044177552,2023-03-18,2023-06-11,770.0906011398924
PO000862,SUP00099,PROD00116,2022-02-07,14,44.67986506465927,2021-09-03,2024-03-12,504.5586084625913
PO000074,SUP00082,PROD00042,2023-05-07,9,59.3010038034116,2022-05-29,2022-12-08,472.1318940881016
