inventory_id,supplier_id,product_id,warehouse,quantity_on_hand,quantity_reserved,quantity_available,reorder_point,inventory_status
293196d4-9b1f-4102-ac9d-80acf0383b7b,SUP0057,PROD0171,Bengaluru DC,1728,22,1706,887,Healthy
faa4797f-8bc2-4dfc-aec1-4c4dbae0d5cb,SUP0090,PROD0031,Hyderabad DC,4489,138,4351,237,Healthy
d47357fb-7bf1-4e12-929f-738b36539ad0,SUP0054,PROD0106,Delhi DC,3894,588,3306,707,Healthy
b68d34ff-a76c-4ff3-8bc4-25f761a992e0,SUP0079,PROD0005,Hyderabad DC,4193,462,3731,570,Overstocked
97af6eeb-a18f-4eb1-91af-3433051a6cd5,SUP0056,PROD0085,Delhi DC,1786,514,1272,828,Overstocked
420a7cdc-e854-41ad-8f33-2df1b75aa163,SUP0077,PROD0012,Mumbai DC,3172,482,2690,819,Overstocked
ec63e0b4-bfc2-45b1-bf51-4cf47ae62c52,SUP0054,PROD0053,Mumbai DC,2495,696,1799,882,Overstocked
87fe6623-1213-47ad-a730-e361c93f8a8b,SUP0066,PROD0178,Bengaluru DC,4126,774,3352,543,Healthy
ee2c7a63-a21b-45be-9691-0e76154ddac6,SUP0095,PROD0081,Hyderabad DC,2643,22,2621,914,Overstocked
5b5b7996-26a5-40c1-a947-323b2b836bd6,SUP0039,PROD0147,Pune DC,1130,142,988,898,Overstocked
60f45a7a-b251-4c1f-9509-74679ccf5025,SUP0059,PROD0016,Chennai DC,2149,663,1486,927,Healthy
2d518314-cdfd-42d4-8a71-f7abb5afa710,SUP0098,PROD0180,Bengaluru DC,636,558,78,935,Low Stock
026e44a2-8413-42f6-8276-97427e86eb06,SUP0088,PROD0186,Bengaluru DC,3627,30,3597,466,Healthy
a320bbd3-61a4-4c67-afa6-345ddccf82c3,SUP0024,PROD0016,Mumbai DC,571,411,160,831,Low Stock
e7711367-4f55-4cac-a34e-07f66eff3d5e,SUP0074,PROD0174,Kolkata DC,121,60,61,246,Low Stock
237bffcd-8fa9-4916-9d00-709237d5757a,SUP0075,PROD0149,Chennai DC,1452,785,667,907,Low Stock
8a915ec6-3fd6-4966-b6ea-148f7381a714,SUP0079,PROD0021,Bengaluru DC,4641,549,4092,213,Healthy
af4292e0-aea9-41c7-82ed-79b6aa4956ab,SUP0072,PROD0040,Kolkata DC,3429,719,2710,380,Healthy
