product_id,product_name,category,unit_of_measure,standard_cost,primary_source_country,status
PROD0001,Premium Industrial Sensor,IT & Office,Box,17965.48542408991,India,Active
PROD0002,Industrial Bearing Set,Chemicals,Kg,12599.960440969666,India,Active
PROD0003,Premium Circuit Breaker,Automotive,Box,18919.551508060358,Vietnam,Discontinued
PROD0004,Heavy Duty Conveyor Roller,Chemicals,Pack,19619.98701311431,India,Active
PROD0005,Standard Circuit Breaker,Electronics,Kg,11494.088439059444,India,Active
PROD0006,Industrial Steel Coil,IT & Office,Set,12276.096664124954,Japan,Active
PROD0007,Premium Industrial Fan,Mechanical,Unit,17390.58518575421,India,Active
PROD0008,Standard Gear Assembly,Mechanical,Unit,15956.072078416772,India,Active
PROD0009,Heavy Duty Oil Filter,Electronics,Box,16609.315344744475,Japan,Active
PROD0010,Standard Safety Helmet,Chemicals,Box,13655.06261340526,India,Discontinued
PROD0011,Heavy Duty Cleaning Solvent,Electronics,Set,19567.731635049302,India,Active
PROD0012,Heavy Duty Adhesive Resin,Automotive,Kg,18993.611950493647,Japan,Active
PROD0013,Premium Circuit Breaker,Electronics,Kg,17188.121648102704,Japan,Active
PROD0014,Standard Circuit Breaker,Safety,Set,19877.26487631431,India,Discontinued
PROD0015,Industrial Barcode Scanner,Automotive,Pack,18619.57627260855,Vietnam,Active
PROD0016,Heavy Duty HDPE Drum,Chemicals,Pack,13628.66361436605,India,Active
PROD0017,Standard Fuel Pump,Mechanical,Kg,18512.704420083453,India,Discontinued
PROD0018,Industrial Copper Wire,Electronics,Unit,12740.805620392788,India,Active
PROD0019,Standard Conveyor Roller,Electronics,Box,19567.32531537417,India,Discontinued
PROD0020,Heavy Duty Thermal Printer,Electronics,Set,16510.142873998364,Vietnam,Active
PROD0021,Industrial Shock Absorber,Mechanical,Box,16235.138482412083,Vietnam,Active
PROD0022,Standard Barcode Scanner,Safety,Set,14383.875227843962,India,Active
PROD0023,Standard Temperature Controller,Automotive,Kg,20025.017506171935,India,Discontinued
PROD0024,Heavy Duty Industrial Rubber,Chemicals,Pack,16264.348189009705,India,Active
PROD0025,Premium Hydraulic Valve,Electronics,Unit,15200.874525618614,Japan,Active
