po_id,supplier_id,product_id,po_date,quantity,unit_cost,total_value,order_status
PO0001,SUPPLIER0001,PROD0167,2025-01-13,1428.6894103861905,15051.808327068104,32744678.288286444,Cancelled
PO0002,SUPPLIER0002,PROD0167,2025-05-25,1563.6140352941848,17524.250302591456,10696322.366121424,Pending
PO0003,SUPPLIER0003,PROD0167,2025-01-20,58.247657528353216,9987.276316044123,11057941.284740742,Cancelled
PO0004,SUPPLIER0004,PROD0167,2026-01-29,2418.9765182351057,18948.308692603143,19206880.455748472,Pending
PO0005,SUPPLIER0005,PROD0167,2025-12-26,2432.2402389320782,16501.143170733823,457210.9122359809,Pending
PO0006,SUPPLIER0006,PROD0167,2025-03-02,1190.5964997244555,15629.163864045157,2372901.232214321,Cancelled
PO0007,SUPPLIER0007,PROD0167,2025-12-26,1838.4134761189387,20109.334208681354,2711565.9465102577,Pending
PO0008,SUPPLIER0008,PROD0167,2026-03-16,552.8467826303896,10953.251502642415,1242215.0667130249,Pending
PO0009,SUPPLIER0009,PROD0167,2025-04-06,184.54715253853124,2329.0928313058116,1345380.742954981,Pending
PO0010,SUPPLIER0010,PROD0167,2025-01-28,266.9042851781283,2694.174137443103,60314522.60033188,Cancelled
PO0011,SUPPLIER0011,PROD0167,2026-05-23,932.0496156875948,18337.21392879752,307647.66178461775,Pending
PO0012,SUPPLIER0012,PROD0167,2025-01-12,1297.862103137171,9464.994923184497,2358717.969890056,Cancelled
PO0013,SUPPLIER0013,PROD0167,2025-03-07,1442.1756026290072,17823.917973610878,42672341.48212093,Cancelled
PO0014,SUPPLIER0014,PROD0167,2025-09-03,642.3155390621537,1658.1218975661204,4251480.671273986,Cancelled
PO0015,SUPPLIER0015,PROD0167,2025-04-29,2243.0473091634476,18273.80556611803,37058827.69576285,Pending
PO0016,SUPPLIER0016,PROD0167,2025-03-02,581.6420051150591,11395.717935487513,10946575.754383212,Pending
PO0017,SUPPLIER0017,PROD0167,2025-12-26,2398.2633003805045,17767.98415783349,1588132.9534413756,Pending
PO0018,SUPPLIER0018,PROD0167,2025-07-31,2422.6788385622294,18794.120236511593,3035707.1995595815,Pending
PO0019,SUPPLIER0019,PROD0167,2025-05-16,1152.5220022295127,22072.377150704167,4910259.079718003,Pending
