po_id,supplier_id,product_id,po_date,quantity,unit_cost,total_value,order_status
PROD0001,PROD0001,PROD0167,2026-03-11,1415,18374.46546768247,18625407.18299269,In Transit
PROD0002,PROD0002,PROD0167,2025-08-29,1295,19495.582613386225,13787767.29936354,Delivered
PROD0003,PROD0003,PROD0167,2026-05-25,1601,17468.61919066416,19029475.94246225,Delivered
PROD0004,PROD0004,PROD0167,2025-02-11,2018,16508.77524754671,26669033.3365393,Pending
PROD0005,PROD0005,PROD0167,2025-11-24,1912,13713.779449228457,19883290.137296803,Delivered
PROD0006,PROD0006,PROD0167,2025-11-06,1988,18180.109859691536,25097489.75572987,Delivered
PROD0007,PROD0007,PROD0167,2025-08-31,1488,15003.37476315905,14396451.455076298,Delivered
PROD0008,PROD0008,PROD0167,2025-03-10,2044,15448.23594494909,24329038.941770744,In Transit
PROD0009,PROD0009,PROD0167,2026-02-13,1721,18478.252293117202,23479304.307633568,Partially Received
PROD0010,PROD0010,PROD0167,2026-06-28,1704,14885.86267557246,17915952.763830125,In Transit
PROD0011,PROD0011,PROD0167,2026-07-19,1298,13077.235811655575,11993728.713299062,Cancelled
PROD0012,PROD0012,PROD0167,2025-10-30,1967,17037.386658613566,26692461.05518179,Partially Received
PROD0013,PROD0013,PROD0167,2025-05-23,1572,19279.759221427965,19823379.25901236,Delivered
PROD0014,PROD0014,PROD0167,2025-04-02,1704,13296.720166834404,16131824.275762517,Delivered
PROD0015,PROD0015,PROD0167,2025-07-27,1909,17812.39186145343,24545354.100103617,Delivered
PROD0016,PROD0016,PROD0167,2025-02-08,1839,14005.520461768328,18757795.261470884,Delivered
PROD0017,PROD0017,PROD0167,2025-07-23,1549,15021.070747790147,15797512.957511583,In Transit
PROD0018,PROD0018,PROD0167,2025-07-31,1335,18901.326615938335,15433646.64638159,Delivered
PROD0019,PROD0019,PROD0167,2026-01-19,1702,19373.465778599108,23105567.887698937,Delivered
PROD0020,PROD0020,PROD0114,2025-12-24,1300,15135.505949191316,13121884.040976182,Delivered
PROD0021,PROD0021,PROD0114,2026-08-31,1990,20191.324094881256,29248377.267988157,In Transit
PROD0022,PROD0022,PROD0114,2026-01-05,1704,13418.903188529079,16738486.903546078,Pending
PROD0023,PROD0023,PROD0114,2025-05-12,1676,18464.19174437951,23314075.728244185,Cancelled
PROD0024,PROD0024,PROD0114,2026-03-15,1509,19976.967078667407,20015555.46923895,Delivered
PROD0025,PROD0025,PROD0114,2025-12-07,1990,17771.523636138543,26573666.41873174,Delivered
PROD0026,PROD0026,PROD0114,2025-01-16,1454,16241.35345621835,15558704.977943081,Cancelled
PROD0027,PROD0027,PROD0114,2025-06-01,1480,15978.493457724637,16149643.798991213,Pending
PROD0028,PROD0028,PROD0114,2026-01-24,1798,19265.862344709458,24095836.19959704,In Transit
PROD0029,PROD0029,PROD0114,2025-10-09,2032,18505.180932859777,27387703.175905503,In Transit
PROD0030,PROD0030,PROD0114,2025-06-06,1791,15467.480207179984,20160965.394054737,Delivered
PROD0031,PROD0031,PROD0114,2025-07-07,1541,15642.782547528665,15244939.984126242,Partially Received
PROD0032,PROD0032,PROD0114,2026-01-30,1428,20195.349458889767,19025720.17123829,In Transit
PROD0033,PROD0033,PROD0114,2025-03-10,1789,20315.062613091377,28417041.75220495,In Transit
PROD0034,PROD0034,PROD0114,2025-01-14,1797,19292.62880323074,27276432.285610482,In Transit
PROD0035,PROD0035,PROD0114,2026-08-20,1958,16175.527799483098,21199823.899853162,Delivered
PROD0036,PROD0036,PROD0114,2026-03-04,1556,19455.70624803924,20751558.200435445,Delivered
PROD0037,PROD0037,PROD0114,2026-05-17,1297,18876.66994688803,14918104.378359651,Pending
PROD0038,PROD0038,PROD0114,2025-03-11,1564,18165.319168765775,16964375.996120546,Delivered
PROD0039,PROD0039,PROD0179,2026-02-01,1561,17889.460751986473,19572670.85275066,Delivered
PROD0040,PROD0040,PROD0179,2025-09-12,2009,12995.742729294425,19490828.17531963,Delivered
PROD0041,PROD0041,PROD0179,2025-03-14,1958,18645.426995844846,27042291.045976736,Partially Received
PROD0042,PROD0042,PROD0179,2025-10-23,1551,12291.868966383949,13249605.58426124,Delivered
PROD0043,PROD0043,PROD0179,2026-01-16,1298,16700.148142315516,12737592.666294802,Delivered
PROD0044,PROD0044,PROD0179,2026-05-29,1884,19817.21073455283,25113887.531571105,In Transit
PROD0045,PROD0045,PROD0179,2025-11-16,1553,16431.5542649821,14679332.290713517,Pending
PROD0046,PROD0046,PROD0179,2026-07-21,1961,18141.00790873268,27397559.902317964,In Transit
