po_id,supplier_id,product_id,po_date,quantity,unit_cost,total_value,order_status
PO0001,SUPPLIER0001,PROD0001,2025-01-13,1428.6894103861905,15051.808327068104,21504359.164044883,Cancelled
PO0002,SUPPLIER0002,PROD0002,2025-05-25,1563.6140352941848,17524.250302591456,27401163.731140364,Pending
PO0003,SUPPLIER0003,PROD0003,2025-01-20,58.247657528353216,9987.276316044123,581735.4504979713,Cancelled
PO0004,SUPPLIER0004,PROD0004,2026-01-29,2418.9765182351057,18948.308692603143,45835513.78767714,Pending
PO0005,SUPPLIER0005,PROD0005,2025-12-26,2432.2402389320782,16501.143170733823,40134744.40823807,Pending
PO0006,SUPPLIER0006,PROD0006,2025-03-02,1190.5964997244555,15629.163864045157,18608027.79015211,Cancelled
PO0007,SUPPLIER0007,PROD0007,2025-12-26,1838.4134761189387,20109.334208681354,36969271.005019374,Pending
PO0008,SUPPLIER0008,PROD0008,2026-03-16,552.8467826303896,10953.251502642415,6055469.85257734,Pending
PO0009,SUPPLIER0009,PROD0009,2025-04-06,184.54715253853124,2329.0928313058116,429827.4500153932,Pending
PO0010,SUPPLIER0010,PROD0010,2025-01-28,266.9042851781283,2694.174137443103,719086.6222996518,Cancelled
PO0011,SUPPLIER0011,PROD0011,2026-05-23,932.0496156875948,18337.21392879752,17091193.195116937,Pending
PO0012,SUPPLIER0012,PROD0012,2025-01-12,1297.862103137171,9464.994923184497,12284258.217186878,Cancelled
PO0013,SUPPLIER0013,PROD0013,2025-03-07,1442.1756026290072,17823.917973610878,25705219.64480226,Cancelled
PO0014,SUPPLIER0014,PROD0014,2025-09-03,642.3155390621537,1658.1218975661204,1065037.460465944,Cancelled
PO0015,SUPPLIER0015,PROD0015,2025-04-29,2243.0473091634476,18273.80556611803,40989010.40325708,Pending
PO0016,SUPPLIER0016,PROD0016,2025-03-02,581.6420051150591,11395.717935487513,6628228.229722599,Pending
PO0017,SUPPLIER0017,PROD0017,2025-12-26,2398.2633003805045,17767.98415783349,42612304.32747426,Pending
PO0018,SUPPLIER0018,PROD0018,2025-07-31,2422.6788385622294,18794.120236511593,45532117.3863908,Pending
PO0019,SUPPLIER0019,PROD0019,2025-05-16,1152.5220022295127,22072.377150704167,25438900.307694513,Pending
PO0020,SUPPLIER0020,PROD0020,2025-01-26,1591.952066388705,12090.212576763972,19247038.894658115,Pending
PO0021,SUPPLIER0021,PROD0021,2026-02-23,2165.3686838260537,12779.300057516122,27671896.1457619,Pending
PO0022,SUPPLIER0022,PROD0022,2026-02-21,41.83467196083762,3355.650217432697,140382.5260616103,Cancelled
PO0023,SUPPLIER0023,PROD0023,2026-05-23,1476.54550294552,779.566777012996,1151065.8188442723,Pending
PO0024,SUPPLIER0024,PROD0024,2025-03-07,1838.2290660531396,11712.850643599682,21530902.49940416,Cancelled
PO0025,SUPPLIER0025,PROD0025,2025-12-18,1619.584618073804,17765.605581500095,28772901.53056367,Cancelled
PO0026,SUPPLIER0026,PROD0026,2025-12-26,476.8392137997153,8837.091106342867,4213871.575424989,Pending
PO0027,SUPPLIER0027,PROD0027,2025-05-14,1311.407813803253,1719.5551765467346,2255038.09478922,Cancelled
PO0028,SUPPLIER0028,PROD0028,2026-04-14,1309.2148215940883,8425.06749379057,11030223.235801173,Cancelled
PO0029,SUPPLIER0029,PROD0029,2026-03-15,357.5238102770135,10112.28835198376,3615383.8622210952,Pending
PO0030,SUPPLIER0030,PROD0030,2025-05-16,1072.4868296381273,25322.84249192121,27158415.061586235,Pending
PO0031,SUPPLIER0031,PROD0031,2026-06-11,1602.8670617272496,6005.818065749907,9626527.956316987,Cancelled
PO0032,SUPPLIER0032,PROD0032,2025-08-31,1786.9356539146638,8960.85669245076,16012474.31336009,Pending
PO0033,SUPPLIER0033,PROD0033,2025-03-07,196.89418138762852,6188.285351008967,1218437.378379964,Cancelled
PO0034,SUPPLIER0034,PROD0034,2025-03-14,1089.575816278817,4724.622279179859,5147834.17644648,Cancelled
PO0035,SUPPLIER0035,PROD0035,2026-06-08,2485.7817503566584,2170.2283158951236,5394713.941759364,Cancelled
PO0036,SUPPLIER0036,PROD0036,2026-03-30,166.03433063160693,21917.05970879113,3638984.338162097,Cancelled
PO0037,SUPPLIER0037,PROD0037,2025-07-31,714.5358039991336,16023.084689025,11449067.700818686,Pending
PO0038,SUPPLIER0038,PROD0038,2025-04-06,221.02141782604014,13342.201925982707,2948912.3866020213,Cancelled
PO0039,SUPPLIER0039,PROD0039,2025-07-01,2390.434296436574,25003.608889285046,59769484.22363337,Cancelled
PO0040,SUPPLIER0040,PROD0040,2026-02-21,238.7946022233977,10178.122126998507,2430480.624697771,Cancelled
PO0041,SUPPLIER0041,PROD0041,2025-12-26,2091.317905706907,9528.81885164916,19927789.484691415,Cancelled
PO0042,SUPPLIER0042,PROD0042,2026-05-17,2027.4111646778722,1920.1106113371686,3892853.6908414303,Cancelled
PO0043,SUPPLIER0043,PROD0043,2025-01-25,2151.710723559933,19026.455491959707,40939428.31338548,Cancelled
PO0044,SUPPLIER0044,PROD0044,2025-03-12,2254.1645709953214,18081.395317784103,40758440.71950962,Pending
PO0045,SUPPLIER0045,PROD0045,2026-05-17,1826.3200895104762,863.4290342538621,1576897.7911244575,Cancelled
PO0046,SUPPLIER0046,PROD0046,2025-11-22,1170.4170329260144,8735.494176441362,10224171.175132975,Cancelled
PO0047,SUPPLIER0047,PROD0047,2026-08-06,1597.157335263377,17433.444615043558,27843953.945824638,Cancelled
PO0048,SUPPLIER0048,PROD0048,2026-03-30,101.52242335240348,18869.334217106272,1915660.5367670557,Cancelled
