po_id,supplier_id,product_id,po_date,quantity,unit_cost,total_value,order_status
PO00404,SUP0037,PROD0050,2025-04-21,959,13228.932662856985,12686546.42367985,Delivered
PO01095,SUP0092,PROD0165,2025-05-18,2183,10690.170730560701,23336642.704814013,In Transit
PO01542,SUP0025,PROD0030,2025-07-05,1849,4951.6309831832905,9155565.687905904,In Transit
PO01880,SUP0078,PROD0135,2026-05-12,2087,16102.084708117352,33605050.78584091,In Transit
PO00679,SUP0072,PROD0024,2026-01-25,623,7027.946624998449,4378410.747374034,Cancelled
PO01388,SUP0095,PROD0142,2025-01-01,2263,8153.211593894653,18450717.8369836,Delivered
PO01433,SUP0099,PROD0023,2026-08-26,1293,16961.79121099673,21931596.03581877,Delivered
PO00443,SUP0031,PROD0079,2025-04-15,1239,6860.0901527931255,8499651.699310683,In Transit
PO01311,SUP0097,PROD0166,2025-01-30,2035,11848.821926840552,24112352.621120524,Delivered
PO01529,SUP0097,PROD0063,2025-04-10,853,19067.033667686403,16264179.718536502,Partially Received
PO02000,SUP0022,PROD0143,2025-05-08,1240,3951.01166521209,4899254.464862992,Delivered
PO00081,SUP0083,PROD0035,2026-07-01,1820,14902.447795792688,27122454.98834269,In Transit
PO00405,SUP0023,PROD0021,2026-06-17,1625,5672.259115622746,9217421.062886963,Partially Received
PO00291,SUP0016,PROD0041,2025-11-22,791,7076.9009758136235,5597828.671868576,Delivered
PO00909,SUP0033,PROD0033,2025-05-24,1217,19473.305825009284,23699013.1890363,Delivered
PO00898,SUP0065,PROD0136,2026-07-11,2093,22624.32559857758,47352713.47782288,Delivered
PO01337,SUP0050,PROD0131,2026-08-26,1241,4248.482343047842,5272366.587722371,In Transit
PO00753,SUP0046,PROD0129,2026-02-13,1146,16929.58263679556,19401301.701767713,In Transit
PO00640,SUP0007,PROD0017,2026-04-17,667,21501.80959835437,14341707.002102366,Partially Received
PO01669,SUP0040,PROD0097,2026-07-13,2094,14665.727041440252,30710032.424775887,In Transit
PO01312,SUP0083,PROD0043,2025-06-22,529,10147.13926074931,5367836.668936386,Delivered
PO00702,SUP0083,PROD0076,2025-02-10,596,9492.109277790883,5657297.129563366,Pending
PO01829,SUP0033,PROD0151,2025-02-23,1516,18963.20321488214,28748216.073761325,Delivered
PO00998,SUP0046,PROD0181,2025-07-15,2224,17132.953877021373,38103689.42249554,Pending
PO00377,SUP0020,PROD0006,2025-12-04,1500,8207.833040342772,12311749.560514158,Delivered
PO00967,SUP0056,PROD0079,2026-04-19,761,8687.038720408935,6610836.466231199,Pending
PO00735,SUP0080,PROD0148,2025-09-18,1491,23553.86280641034,35118809.44435782,Delivered
PO01688,SUP0033,PROD0178,2025-03-27,1518,19278.049930278357,29264079.794162545,In Transit
PO01067,SUP0059,PROD0140,2025-09-23,1998,9976.456536441694,19932960.159810506,In Transit
PO00936,SUP0065,PROD0158,2025-01-26,812,19829.0679732097,16101203.194246277,Delivered
PO00926,SUP0082,PROD0168,2026-02-06,827,15961.907789776062,13200497.742144803,In Transit
PO00829,SUP0069,PROD0069,2025-09-29,827,15129.793660034447,12512339.356848488,Delivered
PO00208,SUP0094,PROD0056,2025-11-25,2155,3281.138381913428,7070853.213023437,Delivered
PO00725,SUP0029,PROD0099,2026-07-07,1999,17453.23004211204,34889006.85418197,Pending
PO00795,SUP0005,PROD0043,2025-11-12,798,1964.3794630967416,1567574.8115511998,In Transit
PO01176,SUP0044,PROD0032,2026-03-02,1753,20792.756522034695,36449702.18312682,Cancelled
PO00288,SUP0008,PROD0189,2026-05-30,797,10465.322253487533,8340861.836029564,Partially Received
PO00448,SUP0005,PROD0030,2025-09-24,2019,15943.677496103182,32190284.864632327,Cancelled
PO01123,SUP0017,PROD0157,2025-02-22,1688,713.3392472180805,1204116.6493041199,Delivered
PO00538,SUP0041,PROD0103,2025-05-24,580,25842.982096286043,14988929.615845906,Delivered
PO01280,SUP0089,PROD0176,2026-07-16,1599,20189.868899654346,32283600.3705473,Delivered
PO01382,SUP0028,PROD0117,2025-08-26,1960,6291.488560169764,12331317.577932738,Partially Received
PO00603,SUP0034,PROD0063,2025-12-06,838,20647.03099420152,17302211.973140873,Partially Received
PO00175,SUP0060,PROD0032,2025-06-14,1408,14021.009216454018,19741580.976767257,Pending
PO00979,SUP0014,PROD0200,2026-05-20,1801,5989.732990020691,10787509.115027266,Delivered
PO00186,SUP0045,PROD0185,2026-02-12,1527,23483.59635416137,35859451.632804416,Delivered
PO01453,SUP0072,PROD0059,2026-02-17,2224,10955.99586610119,24366134.806209046,Delivered
PO01241,SUP0017,PROD0166,2026-07-03,1411,13857.078643699602,19552337.96626014,In Transit
PO00897,SUP0003,PROD0079,2025-08-01,761,13127.994737349398,9990403.99512289,In Transit
PO01892,SUP0037,PROD0089,2025-06-15,2034,17812.60302946486,36230834.56193152,Pending
PO00204,SUP0043,PROD0178,2026-04-15,1045,11297.435004884197,11805819.580103986,Delivered
PO01761,SUP0032,PROD0097,2025-10-27,557,4026.205107608729,2242596.244938062,Pending
PO01601,SUP0057,PROD0073,2025-08-12,616,3104.2207958024997,1912200.0102143397,Delivered
PO00840,SUP0078,PROD0011,2026-08-20,521,20014.63822031549,10427626.512784371,Delivered
PO00306,SUP0097,PROD0189,2026-03-19,1239,898.0842356078239,1112726.3679180937,Delivered
PO00312,SUP0063,PROD0062,2025-06-22,2271,6258.833854318845,14213811.683158096,Delivered
PO01844,SUP0080,PROD0097,2026-07-07,2175,13742.700609823385,29890373.826365862,Delivered
PO00468,SUP0006,PROD0166,2026-03-18,1147,12595.844689628484,14447433.859003872,Delivered
PO01007,SUP0075,PROD0058,2025-12-04,2332,23275.129834307223,54277602.773604445,Delivered
PO00924,SUP0031,PROD0036,2025-01-21,1564,23225.757466869745,36325084.67818428,Delivered
PO00431,SUP0033,PROD0166,2025-06-12,1298,16800.83855708317,21807488.447093956,Delivered
PO00857,SUP0016,PROD0103,2026-05-05,1730,2719.1344346314413,4704102.571912394,Delivered
PO01877,SUP0046,PROD0163,2025-04-14,1564,17835.065389476524,27894042.269141283,Delivered
PO01844,SUP0007,PROD0044,2025-12-05,2264,948.4122748886592,2147205.3903479245,In Transit
PO01989,SUP0051,PROD0019,2026-06-25,1770,20222.44385200848,35793725.61805501,Partially Received
PO00104,SUP0094,PROD0179,2026-05-14,1737,12343.548740226717,21440744.16177381,Delivered
PO01063,SUP0043,PROD0053,2026-07-21,1541,21597.960123901306,33282456.550931912,Delivered
PO00344,SUP0049,PROD0083,2026-05-15,722,20217.625926733752,14597125.91910177,Delivered
PO01244,SUP0092,PROD0026,2025-07-04,1917,19640.294302087652,37650444.17710203,Delivered
PO01980,SUP0043,PROD0183,2025-10-30,2488,8101.6815110076195,20156983.599386957,Partially Received
