po_id,supplier_id,product_id,po_date,quantity,unit_cost,total_value,order_status
PO0001,SUPPLIER0001,PROD0001,2025-01-05,111.29609910903936,12162.771860636196,1353669.0624420012,Partially Received
PO0002,SUPPLIER0002,PROD0002,2026-08-16,74.54248519332387,1250.9426252043856,93248.37211699561,Cancelled
PO0003,SUPPLIER0003,PROD0003,2026-05-25,337.89359185242176,20474.670989460028,6918260.122625227,Delivered
PO0004,SUPPLIER0004,PROD0004,2025-06-02,1580.231139850931,5675.82919491368,8969122.038277637,Delivered
PO0005,SUPPLIER0005,PROD0005,2025-01-09,2402.5645079542815,3873.295881265322,9305843.213133562,Delivered
PO0006,SUPPLIER0006,PROD0006,2026-05-27,2010.695178841382,13168.812501521268,26478467.807874933,Pending
PO0007,SUPPLIER0007,PROD0007,2025-04-29,1271.375479714829,13564.257966348368,17245264.978941847,Pending
PO0008,SUPPLIER0008,PROD0008,2026-05-07,914.3123067842055,4040.5594006629544,3694333.186318753,Pending
PO0009,SUPPLIER0009,PROD0009,2026-08-06,1677.0808073672254,12425.371194204172,20838351.554213397,Pending
PO0010,SUPPLIER0010,PROD0010,2025-03-09,2254.4637849347605,16010.551478035022,36095208.48406366,Partially Received
PO0011,SUPPLIER0011,PROD0011,2025-07-02,2099.6514960456625,23566.195114772185,49480796.8288354,Pending
PO0012,SUPPLIER0012,PROD0012,2025-02-23,1237.5473236456319,10940.782052992403,13539735.54827091,Pending
PO0013,SUPPLIER0013,PROD0013,2026-02-03,2056.091331001211,16187.063397804139,33282080.726592097,Delivered
PO0014,SUPPLIER0014,PROD0014,2025-07-23,2105.67134904821,5666.514357463835,11931816.931481924,Partially Received
PO0015,SUPPLIER0015,PROD0015,2025-06-15,1364.38748646905,2068.25310030736,2821898.648910179,Delivered
PO0016,SUPPLIER0016,PROD0016,2025-07-03,1562.6944932187484,1866.4799371699296,2916737.9195187245,Partially Received
PO0017,SUPPLIER0017,PROD0017,2025-02-25,1488.8410238016593,14833.377983202468,22084541.662948154,In Transit
PO0018,SUPPLIER0018,PROD0018,2025-04-17,1120.9491649285605,23848.29703283823,26732728.643928282,In Transit
PO0019,SUPPLIER0019,PROD0019,2026-04-05,402.71212010520856,11319.108659130292,4558342.2458195845,In Transit
PO0020,SUPPLIER0020,PROD0020,2026-01-13,2428.0245383460447,13259.692775207244,32194859.429132953,Partially Received
PO0021,SUPPLIER0021,PROD0021,2025-11-11,588.4316464193925,25877.574892340337,15227183.999240957,Partially Received
PO0022,SUPPLIER0022,PROD0022,2026-04-20,1398.7298847212942,14032.790734355878,19628083.76618364,Delivered
PO0023,SUPPLIER0023,PROD0023,2025-04-09,1527.7078212056033,8017.550119641588,12248474.024684375,Pending
PO0024,SUPPLIER0024,PROD0024,2025-01-10,221.6082922508897,11346.479213890385,2514473.8816504655,Pending
PO0025,SUPPLIER0025,PROD0025,2025-05-16,1477.2822667138657,18842.49721076696,27835686.99007151,Delivered
PO0026,SUPPLIER0026,PROD0026,2025-04-22,2271.616533404859,8435.837642684774,19162988.262241803,Partially Received
PO0027,SUPPLIER0027,PROD0027,2026-02-23,227.4013216323922,9966.915862352394,2266489.8396977885,Delivered
PO0028,SUPPLIER0028,PROD0028,2025-02-16,368.0461264412088,10612.97284494045,3906063.5456060683,Delivered
PO0029,SUPPLIER0029,PROD0029,2026-06-22,2112.818561892048,12565.748000821046,26549145.6201926,Delivered
PO0030,SUPPLIER0030,PROD0030,2025-11-08,1563.6395707016372,20205.642028948798,31594341.427896455,Delivered
PO0031,SUPPLIER0031,PROD0031,2025-10-04,1074.0390781195888,12561.779043093884,13491841.582986526,Delivered
PO0032,SUPPLIER0032,PROD0032,2025-05-28,553.8910335572307,10579.191027372743,5859719.052350869,Pending
PO0033,SUPPLIER0033,PROD0033,2026-01-19,1539.330417199087,16537.310082216525,25456384.42820903,Cancelled
PO0034,SUPPLIER0034,PROD0034,2026-01-02,2358.610594835516,17889.911849137538,42195335.62804924,Partially Received
PO0035,SUPPLIER0035,PROD0035,2026-07-19,1489.9715292944434,13288.113076138949,19798910.16149224,Partially Received
PO0036,SUPPLIER0036,PROD0036,2026-03-27,1041.9176928551942,19119.38106804426,19920821.411235955,Delivered
PO0037,SUPPLIER0037,PROD0037,2025-04-05,1341.5561757659198,2547.5940527851717,3417740.5348584754,Partially Received
PO0038,SUPPLIER0038,PROD0038,2026-04-03,1466.2719527488175,6562.748095156401,9622773.464883558,Delivered
PO0039,SUPPLIER0039,PROD0039,2025-03-06,497.31302708057234,24558.18346837716,12213104.560258714,Delivered
PO0040,SUPPLIER0040,PROD0040,2025-08-04,1872.0123030940358,6321.373446652772,11833688.86458594,In Transit
PO0041,SUPPLIER0041,PROD0041,2025-12-03,763.3272961827175,16618.053422081455,12685013.786497394,Delivered
PO0042,SUPPLIER0042,PROD0042,2025-01-06,1775.6872278529254,20153.29716146415,35785952.368736506,Delivered
PO0043,SUPPLIER0043,PROD0043,2026-07-30,1264.5664295857755,12805.454671988762,16193348.093779316,In Transit
PO0044,SUPPLIER0044,PROD0044,2026-07-06,2075.885416843936,19568.562020355905,40622092.52666293,Partially Received
PO0045,SUPPLIER0045,PROD0045,2026-07-29,936.6016459548022,9314.902085223312,8724352.624927973,Pending
PO0046,SUPPLIER0046,PROD0046,2025-05-25,655.5476336403738,26191.067818787018,17169492.531120375,Delivered
