inventory_id,supplier_id,product_id,warehouse,quantity_on_hand,quantity_reserved,quantity_available,reorder_point,inventory_status
45e9da42-72d3-4b4c-9b67-362e150a8d28,7d7838dd-789f-40f2-a7a7-1142075b11cf,33420ab3-1b72-404c-a9ac-b920929830e4,Hyderabad DC,2015,351,1664,896,Healthy
cb7a789c-b293-4ed5-952e-69f17461344c,2f172807-79c5-4a58-93e9-86e00d62cf23,28f167e8-784f-4e50-879c-c8f56fc9b84f,Hyderabad DC,5043,710,4333,858,Healthy
90196308-2c10-4873-a611-7eeeb21acae1,cdaa6464-f664-408a-968a-a6abd2b7986b,d36cfcad-00f4-48df-8970-4a5e28a4ccbe,Pune DC,2585,307,2278,880,Healthy
a855396b-a9a7-469f-a9a4-c47fd54716dc,c4c46323-92d2-4575-a0e1-1e0fc856682f,0f78326f-a4bb-473d-99f7-acbb44ca0122,Bengaluru DC,2445,66,2379,306,Healthy
7f578dad-aec0-41b6-a00f-64d2e9c39292,fd1720e3-7dac-41cd-b326-ec434c500969,e0360dde-83b0-4f05-9962-9e2343a0693a,Delhi DC,1738,296,1442,898,Overstocked
a60e24c5-801d-455d-bed2-93ae79e2534b,9ef6c07e-a398-4238-a933-358f9255519f,8626b212-dda7-4c9f-9749-7e980db6951c,Delhi DC,2840,218,2622,899,Low Stock
e11ef325-1071-4398-bd61-df9b20437c7f,2e286525-08de-4967-926d-0f32051a64e4,ea90edaa-f685-4b79-887c-fac984f52a57,Chennai DC,3339,318,3021,739,Overstocked
4c3f8543-71aa-4568-b4a9-882418875769,16297364-f17b-4637-b97b-b8a5661906ca,8ce3a7be-5ed5-46a3-b4ac-e0eed6d124e0,Hyderabad DC,2095,11,2084,832,Healthy
bd8307d2-41d9-445f-9758-023c25528761,9dfda207-21b6-4ae9-abee-9f8f027c3ddf,52e759af-fbec-4f47-9ee2-0aac8ca7975b,Chennai DC,3614,409,3205,840,Healthy
922e762c-5d78-420c-8df6-e6bac8659b3a,b8f90d41-fba6-4e44-8e30-b6603ff8185e,784ecedf-6d29-45b9-ba36-4073a99c6750,Mumbai DC,2629,695,1934,542,Overstocked
