inventory_id,supplier_id,product_id,warehouse,quantity_on_hand,quantity_reserved,quantity_available,reorder_point,inventory_status
INV00001,SUP0057,PROD0171,Bengaluru DC,1728,22,1706,887,Healthy
INV00002,SUP0090,PROD0031,Hyderabad DC,4489,138,4351,237,Healthy
INV00003,SUP0054,PROD0106,Delhi DC,3894,588,3306,707,Healthy
INV00004,SUP0079,PROD0005,Hyderabad DC,4193,462,3731,570,Overstocked
INV00005,SUP0056,PROD0085,Delhi DC,1786,514,1272,828,Overstocked
INV00006,SUP0077,PROD0012,Mumbai DC,3172,482,2690,819,Overstocked
INV00007,SUP0054,PROD0053,Mumbai DC,2495,696,1799,882,Overstocked
INV00008,SUP0066,PROD0178,Bengaluru DC,4126,774,3352,543,Healthy
INV00009,SUP0095,PROD0081,Hyderabad DC,2643,22,2621,914,Overstocked
INV00010,SUP0039,PROD0147,Pune DC,1130,142,988,898,Overstocked
INV00011,SUP0059,PROD0016,Chennai DC,2149,663,1486,927,Healthy
INV00012,SUP0098,PROD0180,Bengaluru DC,636,558,78,935,Low Stock
INV00013,SUP0088,PROD0186,Bengaluru DC,3627,30,3597,466,Healthy
INV00014,SUP0024,PROD0016,Mumbai DC,571,411,160,831,Low Stock
INV00015,SUP0074,PROD0174,Kolkata DC,121,60,61,246,Low Stock
INV00016,SUP0075,PROD0149,Chennai DC,1452,785,667,907,Low Stock
INV00017,SUP0079,PROD0021,Bengaluru DC,4641,549,4092,213,Healthy
INV00018,SUP0072,PROD0040,Kolkata DC,3429,719,2710,380,Healthy
INV00019,SUP0099,PROD0060,Hyderabad DC,3798,92,3706,518,Healthy
INV00020,SUP0069,PROD0109,Mumbai DC,2522,625,1897,318,Healthy
INV00021,SUP0076,PROD0075,Hyderabad DC,1292,30,1262,261,Overstocked
INV00022,SUP0076,PROD0138,Kolkata DC,1920,89,1831,740,Healthy
INV00023,SUP0042,PROD0078,Pune DC,4927,708,4219,69,Healthy
INV00024,SUP0046,PROD0199,Bengaluru DC,4633,625,4008,478,Healthy
INV00025,SUP0049,PROD0154,Delhi DC,1471,65,1406,681,Overstocked
INV00026,SUP0057,PROD0049,Chennai DC,16,11,5,314,Low Stock
INV00027,SUP0068,PROD0042,Chennai DC,2224,237,1987,624,Overstocked
INV00028,SUP0100,PROD0072,Mumbai DC,2009,55,1954,764,Overstocked
INV00029,SUP0087,PROD0190,Chennai DC,617,477,140,792,Low Stock
INV00030,SUP0015,PROD0107,Pune DC,3862,514,3348,930,Healthy
INV00031,SUP0082,PROD0097,Hyderabad DC,2220,679,1541,277,Healthy
INV00032,SUP0044,PROD0166,Kolkata DC,4322,593,3729,934,Healthy
INV00033,SUP0014,PROD0098,Hyderabad DC,2069,790,1279,644,Overstocked
INV00034,SUP0019,PROD0168,Pune DC,4186,95,4091,386,Healthy
INV00035,SUP0058,PROD0199,Pune DC,379,58,321,537,Low Stock
INV00036,SUP0077,PROD0040,Pune DC,3377,645,2732,355,Healthy
INV00037,SUP0007,PROD0053,Chennai DC,254,131,123,694,Low Stock
INV00038,SUP0005,PROD0133,Bengaluru DC,537,465,72,213,Low Stock
INV00039,SUP0020,PROD0136,Chennai DC,1356,615,741,474,Healthy
INV00040,SUP0084,PROD0198,Chennai DC,2424,306,2118,912,Healthy
INV00041,SUP0097,PROD0008,Chennai DC,157,117,40,200,Low Stock
INV00042,SUP0065,PROD0169,Mumbai DC,4746,347,4399,628,Overstocked
INV00043,SUP0083,PROD0120,Bengaluru DC,2257,90,2167,127,Overstocked
INV00044,SUP0001,PROD0109,Hyderabad DC,4852,701,4151,165,Overstocked
INV00045,SUP0050,PROD0029,Bengaluru DC,1404,483,921,465,Healthy
INV00046,SUP0002,PROD0143,Kolkata DC,271,271,0,186,Low Stock
INV00047,SUP0003,PROD0062,Hyderabad DC,983,467,516,108,Healthy
INV00048,SUP0054,PROD0050,Mumbai DC,2167,287,1880,325,Healthy
INV00049,SUP0077,PROD0098,Delhi DC,1506,657,849,309,Overstocked
INV00050,SUP0088,PROD0125,Pune DC,48,5,43,232,Low Stock
