po_id,supplier_id,product_id,po_date,quantity,unit_cost,total_value,order_status
PO00001,SUP0065,PROD0155,2026-04-10,1772,6736.17,11936493.24,In Transit
PO00002,SUP0093,PROD0056,2026-07-19,1771,21022.02,37229997.42,Delivered
PO00003,SUP0059,PROD0103,2025-12-14,1713,15808.74,27080371.62,Delivered
PO00004,SUP0086,PROD0066,2025-11-17,1543,881.77,1360571.11,In Transit
PO00005,SUP0009,PROD0024,2026-05-01,359,4027.39,1445833.01,Delivered
PO00006,SUP0017,PROD0143,2026-01-17,255,17735.06,4522440.3,Partially Received
PO00007,SUP0086,PROD0032,2025-12-04,1692,8152.44,13793928.48,In Transit
PO00008,SUP0093,PROD0014,2026-03-10,1188,14605.79,17351678.52,Delivered
PO00009,SUP0065,PROD0055,2026-08-15,643,2048.08,1316915.44,Delivered
PO00010,SUP0045,PROD0143,2025-04-21,1515,15768.63,23889474.45,Delivered
PO00011,SUP0055,PROD0144,2025-08-20,2290,17655.03,40430018.7,Pending
PO00012,SUP0004,PROD0047,2025-10-01,1129,19657.61,22193441.69,Delivered
PO00013,SUP0045,PROD0002,2025-12-14,753,7646.18,5757573.54,Partially Received
PO00014,SUP0009,PROD0037,2026-02-15,135,8622.52,1164040.2,Partially Received
PO00015,SUP0054,PROD0117,2026-01-21,1406,10093.59,14191587.54,Delivered
PO00016,SUP0100,PROD0146,2025-11-29,2452,15370.08,37687436.16,Delivered
PO00017,SUP0097,PROD0159,2025-06-11,213,6589.73,1403612.49,Delivered
PO00018,SUP0063,PROD0156,2026-03-11,1820,6777.53,12335104.6,Delivered
PO00019,SUP0015,PROD0089,2026-06-09,1770,8666.34,15339421.8,In Transit
PO00020,SUP0063,PROD0135,2026-08-31,1273,2285.0,2908805.0,Delivered
PO00021,SUP0001,PROD0053,2025-02-26,1244,3070.28,3819428.32,In Transit
PO00022,SUP0038,PROD0084,2025-09-19,501,7557.84,3786477.84,In Transit
PO00023,SUP0017,PROD0098,2025-06-29,2191,14317.74,31370168.34,Delivered
PO00024,SUP0010,PROD0102,2025-12-29,183,12359.64,2261814.12,Delivered
PO00025,SUP0041,PROD0148,2025-03-21,1768,23229.83,41070339.44,In Transit
PO00026,SUP0038,PROD0030,2026-03-04,1669,10758.27,17955552.63,Delivered
PO00027,SUP0089,PROD0093,2026-04-17,370,4344.42,1607435.4,Delivered
PO00028,SUP0076,PROD0103,2026-03-23,2156,13467.91,29036813.96,Pending
PO00029,SUP0029,PROD0086,2025-12-14,698,1730.3,1207749.4,Partially Received
PO00030,SUP0066,PROD0050,2026-06-28,1441,3110.17,4481754.97,Cancelled
PO00031,SUP0031,PROD0027,2025-06-01,609,14448.45,8799106.05,Delivered
PO00032,SUP0098,PROD0195,2025-06-06,318,7008.01,2228547.18,In Transit
PO00033,SUP0060,PROD0194,2026-05-21,2319,13423.75,31129676.25,Delivered
PO00034,SUP0083,PROD0163,2026-08-02,1333,3668.32,4889870.56,Partially Received
PO00035,SUP0057,PROD0018,2025-06-04,1930,20191.12,38968861.6,Delivered
PO00036,SUP0076,PROD0015,2025-10-09,1451,7242.62,10509041.62,Delivered
PO00037,SUP0005,PROD0015,2026-04-08,1520,7805.44,11864268.8,Delivered
PO00038,SUP0079,PROD0153,2025-04-03,2086,20558.74,42885531.64,Partially Received
PO00039,SUP0058,PROD0147,2025-02-12,781,1960.17,1530892.77,Delivered
PO00040,SUP0008,PROD0116,2025-06-04,433,5537.22,2397616.26,Pending
PO00041,SUP0065,PROD0166,2025-03-28,716,17895.92,12813478.72,In Transit
PO00042,SUP0068,PROD0134,2026-03-26,660,23348.2,15409812.0,Pending
PO00043,SUP0053,PROD0199,2026-02-01,1395,7231.09,10087370.55,Delivered
PO00044,SUP0009,PROD0085,2025-12-09,397,2963.71,1176592.87,Delivered
PO00045,SUP0093,PROD0169,2025-09-16,2478,14656.45,36318683.1,Delivered
PO00046,SUP0085,PROD0037,2026-08-20,1442,9123.74,13156433.08,In Transit
PO00047,SUP0017,PROD0153,2026-02-06,357,20178.64,7203774.48,Delivered
PO00048,SUP0017,PROD0172,2025-12-03,2166,5050.42,10939209.72,In Transit
PO00049,SUP0047,PROD0005,2026-06-05,1495,22962.38,34328758.1,Cancelled
PO00050,SUP0099,PROD0125,2025-12-16,796,6507.04,5179603.84,Delivered
PO00051,SUP0038,PROD0026,2025-03-21,2089,21354.83,44610239.87,Pending
PO00052,SUP0005,PROD0170,2026-06-24,1389,15970.39,22182871.71,Partially Received
PO00053,SUP0020,PROD0042,2026-01-21,750,16009.29,12006967.5,In Transit
PO00054,SUP0093,PROD0113,2025-06-19,188,23738.05,4462753.4,In Transit
PO00055,SUP0057,PROD0157,2025-09-01,1177,19779.37,23280318.49,In Transit
PO00056,SUP0069,PROD0062,2025-08-28,1277,22479.8,28706704.6,In Transit
PO00057,SUP0048,PROD0174,2025-07-18,2346,26411.78,61962035.88,Delivered
PO00058,SUP0100,PROD0098,2025-10-16,2069,13740.45,28428991.05,Cancelled
PO00059,SUP0078,PROD0036,2025-07-24,1034,8734.02,9030976.68,Delivered
PO00060,SUP0071,PROD0027,2026-01-16,2123,16640.77,35328354.71,Delivered
PO00061,SUP0035,PROD0116,2025-06-14,2112,4716.57,9961395.84,Delivered
PO00062,SUP0058,PROD0090,2025-08-16,119,24246.04,2885278.76,Delivered
PO00063,SUP0031,PROD0099,2026-01-18,344,1803.71,620476.24,Delivered
PO00064,SUP0092,PROD0167,2025-04-12,1383,20193.31,27927347.73,Delivered
PO00065,SUP0061,PROD0179,2025-10-21,578,950.91,549625.98,Delivered
PO00066,SUP0011,PROD0005,2025-01-06,1058,22424.0,23724592.0,Delivered
PO00067,SUP0055,PROD0029,2026-06-25,1190,6127.31,7291498.9,Delivered
PO00068,SUP0054,PROD0164,2025-09-02,1882,11264.26,21199337.32,Pending
PO00069,SUP0077,PROD0138,2026-05-27,77,17891.41,1377638.57,Partially Received
PO00070,SUP0038,PROD0110,2025-05-28,16,22045.88,352734.08,Delivered
PO00071,SUP0024,PROD0171,2026-03-03,360,11895.87,4282513.2,Delivered
PO00072,SUP0070,PROD0130,2026-06-23,2089,23629.84,49362735.76,Delivered
PO00073,SUP0006,PROD0163,2026-04-27,1594,3762.88,5998030.72,Delivered
PO00074,SUP0046,PROD0018,2025-01-17,1422,19203.0,27306666.0,In Transit
PO00075,SUP0099,PROD0149,2025-04-17,1371,14570.93,19976745.03,Delivered
PO00076,SUP0083,PROD0045,2025-12-13,1913,9174.14,17550129.82,Delivered
PO00077,SUP0018,PROD0017,2025-07-06,1884,14665.18,27629199.12,Delivered
PO00078,SUP0006,PROD0081,2025-07-24,1280,1218.73,1559974.4,Cancelled
PO00079,SUP0061,PROD0065,2026-07-11,159,6531.37,1038487.83,Delivered
PO00080,SUP0100,PROD0013,2026-01-01,1369,9982.9,13666590.1,Pending
PO00081,SUP0052,PROD0191,2026-03-24,1811,8920.14,16154373.54,Delivered
PO00082,SUP0064,PROD0178,2025-07-11,2047,20191.65,41332307.55,Pending
PO00083,SUP0011,PROD0187,2025-10-01,1748,17738.83,31007474.84,Partially Received
PO00084,SUP0070,PROD0076,2025-07-04,1325,5269.44,6982008.0,Delivered
PO00085,SUP0040,PROD0115,2025-10-30,2478,9570.68,23716145.04,Delivered
PO00086,SUP0045,PROD0115,2026-03-31,183,9590.66,1755090.78,Pending
PO00087,SUP0036,PROD0164,2026-03-22,244,11301.21,2757495.24,Partially Received
PO00088,SUP0066,PROD0192,2026-01-08,665,3590.78,2387868.7,Delivered
PO00089,SUP0005,PROD0033,2026-03-25,285,3595.48,1024711.8,In Transit
PO00090,SUP0050,PROD0146,2026-01-06,142,17501.03,2485146.26,In Transit
PO00091,SUP0048,PROD0114,2026-01-15,324,11798.11,3822587.64,Partially Received
PO00092,SUP0041,PROD0167,2026-02-12,1151,17739.29,20417922.79,Delivered
PO00093,SUP0064,PROD0133,2025-07-10,1595,13656.63,21782324.85,Delivered
PO00094,SUP0091,PROD0115,2025-09-24,888,10179.07,9039014.16,Delivered
PO00095,SUP0026,PROD0032,2026-05-18,565,9164.79,5178106.35,Delivered
PO00096,SUP0012,PROD0175,2026-04-01,1319,2602.81,3433106.39,In Transit
PO00097,SUP0070,PROD0075,2026-07-18,1238,19078.89,23619665.82,In Transit
PO00098,SUP0047,PROD0131,2025-06-28,928,8749.1,8119164.8,Delivered
PO00099,SUP0031,PROD0127,2025-05-23,117,20250.49,2369307.33,Partially Received
PO00100,SUP0071,PROD0034,2026-04-24,363,1505.43,546471.09,Delivered
PO00101,SUP0068,PROD0106,2026-05-06,1687,1166.58,1968020.46,Delivered
PO00102,SUP0083,PROD0019,2025-11-21,1853,20014.08,37086090.24,Delivered
PO00103,SUP0100,PROD0142,2025-05-12,2417,17575.99,42481167.83,Cancelled
