sales_order_id,customer_id,product_id,order_date,quantity,unit_price,total_value,order_status
SO00001,CUST00231,PROD0151,2026-03-17,552,5800.12,3201666.24,Delivered
SO00002,CUST00210,PROD0180,2025-01-17,110,15208.15,1672896.5,Pending
SO00003,CUST00447,PROD0111,2025-01-23,599,8332.07,4990909.93,Pending
SO00004,CUST00465,PROD0022,2026-03-27,83,14060.82,1167048.06,Shipped
SO00005,CUST00134,PROD0184,2026-06-21,459,23120.19,10612167.21,Delivered
SO00006,CUST00215,PROD0111,2026-01-03,746,9387.87,7003351.02,Shipped
SO00007,CUST00278,PROD0187,2025-03-20,518,26518.39,13736526.02,Delivered
SO00008,CUST00197,PROD0126,2025-04-09,679,8591.15,5833390.85,Processing
SO00009,CUST00105,PROD0073,2025-07-05,711,11409.17,8111919.87,Cancelled
SO00010,CUST00295,PROD0133,2026-03-22,336,14037.2,4716499.2,Cancelled
SO00011,CUST00166,PROD0195,2025-10-12,18,11108.0,199944.0,Shipped
SO00012,CUST00439,PROD0182,2026-02-23,591,15394.76,9098303.16,Delivered
SO00013,CUST00160,PROD0012,2025-12-18,139,12781.89,1776682.71,Shipped
SO00014,CUST00462,PROD0046,2025-09-28,575,8597.19,4943384.25,Delivered
SO00015,CUST00301,PROD0043,2026-07-04,340,5347.58,1818177.2,Delivered
SO00016,CUST00433,PROD0034,2025-02-04,339,1931.86,654900.54,Pending
SO00017,CUST00276,PROD0083,2025-09-04,723,23728.69,17155842.87,Delivered
SO00018,CUST00387,PROD0097,2025-06-26,309,23055.28,7124081.52,Shipped
SO00019,CUST00390,PROD0194,2026-02-26,256,17616.26,4509762.56,Delivered
SO00020,CUST00389,PROD0192,2025-09-08,417,5102.79,2127863.43,Pending
SO00021,CUST00101,PROD0083,2026-01-30,525,18786.56,9862944.0,Delivered
SO00022,CUST00012,PROD0198,2025-03-28,82,12732.75,1044085.5,Delivered
SO00023,CUST00296,PROD0097,2026-07-17,616,21469.64,13225298.24,Cancelled
SO00024,CUST00001,PROD0195,2025-08-02,302,11095.87,3350952.74,Processing
SO00025,CUST00076,PROD0182,2026-01-13,502,13638.47,6846511.94,Processing
SO00026,CUST00025,PROD0056,2026-05-02,397,27513.99,10923054.03,Delivered
SO00027,CUST00383,PROD0109,2025-07-18,221,10978.16,2426173.36,Shipped
SO00028,CUST00322,PROD0153,2025-08-05,265,28198.34,7472560.1,Shipped
SO00029,CUST00383,PROD0190,2026-01-22,736,4204.47,3094489.92,Delivered
