shipment_id,po_id,destination,transport_mode,shipment_date,delivery_date,delivery_performance,shipment_status
SHIP00001,PO00001,Chennai Port,Sea,2026-04-18,2026-04-21,On Time,Delivered
SHIP00002,PO00002,Pune DC,Sea,2026-07-27,,On Time,In Transit
SHIP00003,PO00003,Pune DC,Rail,2025-12-16,2025-12-23,On Time,Delivered
SHIP00004,PO00004,Pune DC,Sea,2025-11-23,,On Time,Pending
SHIP00005,PO00005,Hyderabad DC,Road,2026-05-10,2026-05-19,On Time,Delivered
SHIP00006,PO00006,Delhi ICD,Air,2026-01-27,2026-02-01,On Time,Delivered
SHIP00007,PO00007,Pune DC,Sea,2025-12-05,,At Risk,In Transit
SHIP00008,PO00008,JNPT,Road,2026-03-21,2026-03-30,On Time,Delivered
SHIP00009,PO00009,Hyderabad DC,Rail,2026-08-22,2026-08-30,On Time,Delivered
SHIP00010,PO00010,Pune DC,Sea,2025-04-26,2025-05-08,On Time,Delivered
SHIP00011,PO00011,Hyderabad DC,Road,2025-08-27,2025-09-04,On Time,Delivered
SHIP00012,PO00012,Hyderabad DC,Sea,2025-10-03,2025-10-06,Delayed,Delivered
SHIP00013,PO00013,Bengaluru DC,Sea,2025-12-15,2025-12-19,On Time,Delivered
SHIP00014,PO00014,Chennai Port,Sea,2026-02-16,2026-02-28,Delayed,Delivered
SHIP00015,PO00015,Mumbai Port,Sea,2026-01-26,2026-02-07,On Time,Delivered
SHIP00016,PO00016,Pune DC,Air,2025-12-07,,On Time,In Transit
SHIP00017,PO00017,Bengaluru DC,Sea,2025-06-14,,Delayed,Cancelled
SHIP00018,PO00018,Hyderabad DC,Air,2026-03-13,2026-03-20,On Time,Delivered
SHIP00019,PO00019,Chennai Port,Sea,2026-06-19,,On Time,In Transit
SHIP00020,PO00020,Chennai Port,Air,2026-09-05,2026-09-14,On Time,Delivered
SHIP00021,PO00021,Delhi ICD,Sea,2025-03-08,,On Time,In Transit
SHIP00022,PO00022,Bengaluru DC,Air,2025-09-24,2025-10-07,On Time,Delayed
SHIP00023,PO00023,Delhi ICD,Air,2025-07-05,2025-07-14,On Time,Delivered
SHIP00024,PO00024,Bengaluru DC,Sea,2026-01-08,2026-01-10,On Time,Delivered
SHIP00025,PO00025,Hyderabad DC,Rail,2025-03-23,2025-03-27,On Time,Delivered
SHIP00026,PO00026,Delhi ICD,Sea,2026-03-11,,On Time,Pending
SHIP00027,PO00027,Pune DC,Sea,2026-04-21,,On Time,Pending
SHIP00028,PO00028,Bengaluru DC,Road,2026-03-29,2026-04-02,On Time,Delivered
SHIP00029,PO00029,Hyderabad DC,Air,2025-12-26,2026-01-07,On Time,Delivered
SHIP00030,PO00030,Hyderabad DC,Road,2026-06-29,2026-07-05,Delayed,Delivered
SHIP00031,PO00031,Pune DC,Rail,2025-06-08,,On Time,Pending
SHIP00032,PO00032,Bengaluru DC,Rail,2025-06-11,,On Time,In Transit
SHIP00033,PO00033,JNPT,Sea,2026-05-22,2026-05-31,On Time,Delivered
SHIP00034,PO00034,Bengaluru DC,Road,2026-08-14,2026-09-04,On Time,Delayed
SHIP00035,PO00035,Delhi ICD,Road,2025-06-07,,On Time,In Transit
SHIP00036,PO00036,Delhi ICD,Air,2025-10-10,2025-10-27,On Time,Delayed
SHIP00037,PO00037,JNPT,Road,2026-04-19,2026-04-24,On Time,Delivered
SHIP00038,PO00038,Hyderabad DC,Sea,2025-04-07,2025-04-13,On Time,Delivered
SHIP00039,PO00039,Bengaluru DC,Sea,2025-02-23,,On Time,In Transit
SHIP00040,PO00040,Delhi ICD,Air,2025-06-13,2025-06-20,Delayed,Delivered
SHIP00041,PO00041,JNPT,Rail,2025-03-31,2025-04-09,On Time,Delivered
SHIP00042,PO00042,Pune DC,Road,2026-03-31,2026-04-12,On Time,Delivered
SHIP00043,PO00043,Mumbai Port,Rail,2026-02-10,,Delayed,Cancelled
SHIP00044,PO00044,Pune DC,Air,2025-12-18,2025-12-24,On Time,Delivered
SHIP00045,PO00045,Bengaluru DC,Rail,2025-09-24,2025-10-05,On Time,Delivered
SHIP00046,PO00046,Pune DC,Air,2026-08-30,2026-09-01,On Time,Delivered
SHIP00047,PO00047,Chennai Port,Rail,2026-02-14,,On Time,Cancelled
SHIP00048,PO00048,JNPT,Road,2025-12-05,2025-12-10,On Time,Delivered
SHIP00049,PO00049,Pune DC,Sea,2026-06-08,,On Time,Pending
SHIP00050,PO00050,Bengaluru DC,Air,2025-12-22,2026-01-17,On Time,Delayed
SHIP00051,PO00051,Hyderabad DC,Air,2025-03-27,,On Time,In Transit
SHIP00052,PO00052,Chennai Port,Sea,2026-07-03,2026-07-11,On Time,Delivered
SHIP00053,PO00053,Chennai Port,Air,2026-01-29,2026-02-02,On Time,Delivered
SHIP00054,PO00054,Hyderabad DC,Road,2025-06-25,2025-07-13,On Time,Delayed
SHIP00055,PO00055,Chennai Port,Rail,2025-09-12,2025-09-20,On Time,Delivered
SHIP00056,PO00056,Bengaluru DC,Road,2025-09-07,2025-09-18,On Time,Delivered
SHIP00057,PO00057,Delhi ICD,Rail,2025-07-30,2025-08-01,On Time,Delivered
SHIP00058,PO00058,Delhi ICD,Road,2025-10-27,2025-10-30,Delayed,Delivered
SHIP00059,PO00059,Pune DC,Rail,2025-08-04,2025-08-14,Delayed,Delivered
SHIP00060,PO00060,JNPT,Sea,2026-01-19,2026-01-24,At Risk,Delivered
SHIP00061,PO00061,Mumbai Port,Road,2025-06-18,2025-06-24,On Time,Delivered
SHIP00062,PO00062,Bengaluru DC,Sea,2025-08-24,2025-09-05,At Risk,Delivered
SHIP00063,PO00063,Bengaluru DC,Road,2026-01-21,,Delayed,Cancelled
SHIP00064,PO00064,JNPT,Rail,2025-04-18,,On Time,Pending
SHIP00065,PO00065,Hyderabad DC,Sea,2025-10-23,2025-10-25,Delayed,Delivered
SHIP00066,PO00066,Mumbai Port,Sea,2025-01-14,,At Risk,Pending
SHIP00067,PO00067,Hyderabad DC,Road,2026-07-07,2026-07-18,On Time,Delivered
SHIP00068,PO00068,Pune DC,Road,2025-09-14,2025-09-22,On Time,Delivered
SHIP00069,PO00069,Hyderabad DC,Sea,2026-06-08,,On Time,Pending
